id,date,time
0006414,16 Nov 2016,15:15
0006414,16 Nov 2016,17:00
0006414,16 Nov 2016,18:30
0006414,16 Nov 2016,21:30
0006414,16 Nov 2016,23:15
0006414,17/11/16,15:15
0006414,17/11/16,17:00
0006414,17/11/16,18:30
0006414,17/11/16,21:30
0006414,17/11/16,23:15
0006414,18/11/16,15:15
0006414,18/11/16,17:00
0006414,18/11/16,18:30
0006414,18/11/16,21:30
0006414,18/11/16,23:15
0006414,19/11/16,15:15
0006414,19/11/16,17:00
0006414,19/11/16,18:30
0006414,19/11/16,21:30
0006414,19/11/16,23:15
0006414,20/11/16,15:15
0006414,20/11/16,17:00
0006414,20/11/16,18:30
0006414,20/11/16,21:30
0006414,20/11/16,23:15
0068646,16/11/16,15:15
0068646,16/11/16,17:15
0068646,16/11/16,18:15
0068646,16/11/16,21:15
0068646,16/11/16,23:15
0068646,17/11/16,15:15
0068646,17/11/16,17:15
0068646,17/11/16,18:15
0068646,17/11/16,21:15
0068646,17/11/16,23:15
0068646,18/11/16,15:15
0068646,18/11/16,17:15
0068646,18/11/16,18:15
0068646,18/11/16,21:15
0068646,18/11/16,23:15
0068646,19/11/16,15:15
0068646,19/11/16,17:15
0068646,19/11/16,18:15
0068646,19/11/16,21:15
0068646,19/11/16,23:15
0068646,20/11/16,15:15
0068646,20/11/16,17:15
0068646,20/11/16,18:15
0068646,20/11/16,21:15
0068646,20/11/16,23:15
0113277,16/11/16,15:15
0113277,16/11/16,17:15
0113277,16/11/16,18:15
0113277,16/11/16,21:15
0113277,16/11/16,23:15
0113277,17/11/16,15:15
0113277,17/11/16,17:15
0113277,17/11/16,18:15
0113277,17/11/16,21:15
0113277,17/11/16,23:15
0113277,18/11/16,15:15
0113277,18/11/16,17:15
0113277,18/11/16,18:15
0113277,18/11/16,21:15
0113277,18/11/16,23:15
0113277,19/11/16,15:15
0113277,19/11/16,17:15
0113277,19/11/16,18:15
0113277,19/11/16,21:15
0113277,19/11/16,23:15
0113277,20/11/16,15:15
0113277,20/11/16,17:15
0113277,20/11/16,18:15
0113277,20/11/16,21:15
0113277,20/11/16,23:15
1798709,16/11/16,15:15
1798709,16/11/16,17:15
1798709,16/11/16,18:15
1798709,16/11/16,21:15
1798709,16/11/16,23:15
1798709,17/11/16,15:15
1798709,17/11/16,17:15
1798709,17/11/16,18:15
1798709,17/11/16,21:15
1798709,17/11/16,23:15
1798709,18/11/16,15:15
1798709,18/11/16,17:15
1798709,18/11/16,18:15
1798709,18/11/16,21:15
1798709,18/11/16,23:15
1798709,19/11/16,15:15
1798709,19/11/16,17:15
1798709,19/11/16,18:15
1798709,19/11/16,21:15
1798709,19/11/16,23:15
1798709,20/11/16,15:15
1798709,20/11/16,17:15
1798709,20/11/16,18:15
1798709,20/11/16,21:15
1798709,20/11/16,23:15
0790636,16/11/16,15:15
0790636,16/11/16,17:15
0790636,16/11/16,18:15
0790636,16/11/16,21:15
0790636,16/11/16,23:15
0790636,17/11/16,15:15
0790636,17/11/16,17:15
0790636,17/11/16,18:15
0790636,17/11/16,21:15
0790636,17/11/16,23:15
0790636,18/11/16,15:15
0790636,18/11/16,17:15
0790636,18/11/16,18:15
0790636,18/11/16,21:15
0790636,18/11/16,23:15
0790636,19/11/16,15:15
0790636,19/11/16,17:15
0790636,19/11/16,18:15
0790636,19/11/16,21:15
0790636,19/11/16,23:15
0790636,20/11/16,15:15
0790636,20/11/16,17:15
0790636,20/11/16,18:15
0790636,20/11/16,21:15
0790636,20/11/16,23:15
